,Country,Company Name,Assets-2019(mUSD),Profits-2019(mUSD),Revenue-2019(mUSD)
35,China,Agricultural Bank of China,3.293.105,30.657 ,139.524
36,USA,Alphabet,232.792,30.736 ,136.819
37,USA,Cardinal Health,39.951,256 ,136.809
38,China,SAIC Motor,114.012,5.444 ,136.393
39,USA,Walgreens Boots Alliance,68.124,5.024 ,131.537
40,USA,JPMorgan Chase & Co.,2.622.532,32.474 ,131.412
41,Russia,Gazprom,300.355,23.199 ,131.302
42,USA,Verizon Communications,264.829,15.528 ,130.863
43,China,Bank of China,3.097.612,27.225 ,127.714
44,Germany,Allianz,1.025.919,8.806 ,126.800
45,France,AXA,1.063.784,2.526 ,125.578
46,USA,Kroger,38.118,3.110 ,121.162
47,USA,General Electric,309.129,-22.355 ,120.268
48,USA,Fannie Mae,3.418.318,15.959 ,120.101
49,Russia,Lukoil,82.735,9.864 ,119.145
50,China,China Life Insurance,580.332,-2.567 ,116.172
51,Japan,Japan Post Holdings,2.585.802,4.324 ,115.221
52,Germany,BMW Group,238.864,8.399 ,115.043
53,USA,Phillips 66,54.302,5.595 ,114.217
54,China,China Railway Engineering Group,137.914,1.241 ,112.133
55,China,China Mobile Communications,255.217,11.745 ,112.096
56,USA,Valero Energy,50.155,3.122 ,111.407
57,USA,Bank of America Corp.,2.354.507,28.147 ,110.584
58,China,China Railway Construction,134.180,1.187 ,110.456
59,USA,Microsoft,258.848,16.571 ,110.360
60,China,Huawei Investment & Holding,96.974,8.954 ,109.030
61,USA,Home Depot,44.003,11.121 ,108.203
62,China,China National Offshore Oil,177.194,7.331 ,108.130
63,Japan,Nippon Telegraph & Telephone,201.456,7.708 ,107.147
64,Japan,Itochu,91.251,4.514 ,104.627
65,Japan,Nissan Motor,171.251,2.878 ,104.391
66,China,China Development Bank,2.356.616,16.744 ,103.073
67,USA,Boeing,117.359,10.460 ,101.127
68,USA,Wells Fargo,1.895.883,22.393 ,101.060
69,Germany,Siemens,161.336,6.909 ,98.802
70,USA,Citigroup,1.917.383,18.045 ,97.120
71,USA,Marathon Petroleum,92.940,2.780 ,97.102
72,South Korea,SK Holdings,107.069,2.048 ,95.905
73,Brazil,Petrobras,222.068,7.173 ,95.584
74,USA,Comcast,251.684,11.731 ,94.507
75,Switzerland,Nestlé,139.045,10.365 ,93.513
76,Germany,Bosch Group,95.617,3.596 ,92.602
77,Germany,Uniper,57.842,-533 ,92.261
78,USA,Anthem,71.571,3.750 ,92.105
79,China,China Resources,209.652,3.475 ,91.986
80,France,Carrefour,54.153,-662 ,91.955
81,China,Dongfeng Motor,66.397,1.600 ,90.934
82,Italy,ENI,135.300,4.869 ,90.800
83,USA,Dell Technologies,111.820,-2.310 ,90.621
84,Spain,Banco Santander,1.667.947,9.217 ,90.532
85,Russia,Rosneft Oil,189.980,8.746 ,90.055
86,China,China FAW Group,66.683,2.660 ,89.805
87,China,Sinochem Group,71.333,701 ,89.358
88,Italy,Enel,189.080,5.652 ,89.306
89,Germany,Deutsche Telekom,166.164,2.556 ,89.287
90,France,Crédit Agricole,1.856.682,5.193 ,88.325
91,Italy,Assicurazioni Generali,589.590,2.725 ,88.157
92,China,China Communications Construction,198.944,1.585 ,88.141
93,South Korea,Hyundai Motor,161.921,1.371 ,87.999
94,Mexico,Pemex,105.384,-9.378 ,87.403
95,France,Peugeot,70.811,3.336 ,87.364
96,China,Pacific Construction Group,58.175,3.391 ,86.623
97,Japan,SoftBank Group,326.163,12.728 ,86.605
98,Britain,HSBC Holdings,2.558.124,13.727 ,86.131
99,USA,DuPont,188.030,3.844 ,85.977
100,China,China Post Group,1.429.122,4.134 ,85.628
101,Japan,Hitachi,86.985,2.007 ,85.508
102,Britain,Tesco,65.228,1.743 ,84.271
103,France,BNP Paribas,2.332.676,8.882 ,83.974
104,Japan,JXTG Holdings,76.604,2.907 ,82.733
105,India,Reliance Industries,144.715,5.661 ,82.331
106,China,China Energy Investment,259.644,3.531 ,81.978
107,USA,State Farm Insurance Cos.,272.518,8.788 ,81.732
108,USA,Johnson & Johnson,152.954,15.297 ,81.581
109,france,Electricité de France,323.662,1.389 ,81.403
110,China,China Southern Power Grid,118.706,1.782 ,80.964
111,China,China Minmetals,130.627,-374 ,80.076
112,Norway,Equinor,112.508,7.535 ,79.593
113,USA,International Business Machines,123.382,8.728 ,79.591
114,Germany,BASF,98.934,5.555 ,78.799
115,Japan,Sony,189.587,8.264 ,78.158
116,India,Indian Oil,48.386,2.485 ,77.587
117,Japan,AEON,90.294,214 ,77.123
118,China,Amer International Group,21.241,1.483 ,76.363
119,Luxembourg,ArcelorMittal,91.249,5.149 ,76.033
120,China,People's Insurance Co. of China,150.259,1.952 ,75.377
121,USA,Target,41.290,2.937 ,75.356
122,Netherlands,Airbus,131.671,3.604 ,75.185
123,Germany,Deutsche Post DHL Group,57.687,2.449 ,75.001
124,Japan,Nippon Life Insurance,712.113,2.515 ,74.202
125,France,Engie,175.681,1.219 ,74.144
126,Netherlands,Royal Ahold Delhaize,38.097,2.116 ,74.104
127,USA,Freddie Mac,2.063.060,9.235 ,73.598
128,China,Beijing Automotive Group,66.790,1.098 ,72.677
129,Thailand,PTT,72.348,3.704 ,72.307
130,Japan,Panasonic,54.341,2.563 ,72.178
131,USA,United Parcel Service,50.016,4.791 ,71.861
132,USA,Lowe's,34.508,2.314 ,71.309
133,China,COFCO,81.657,338 ,71.223
134,USA,Intel,127.963,21.053 ,70.848
135,USA,U.S. Postal Service,26.688,-3.913 ,70.660
136,China,CITIC Group,986.297,4.566 ,70.659
137,China,China Evergrande Group,273.829,5.653 ,70.479
138,China,JD.com,30.465,-377 ,69.848
139,China,China North Industries Group,57.675,966 ,68.778
140,China,China Telecommunications,122.946,1.665 ,68.710
141,USA,MetLife,687.538,5.123 ,67.941
142,France,Renault,131.440,3.897 ,67.764
143,China,ChemChina,116.354,-2.208 ,67.398
144,Germany,Munich Re Group,308.802,2.726 ,67.226
145,USA,Procter & Gamble,118.310,9.750 ,66.832
146,Japan,Marubeni,61.526,2.083 ,66.754
147,USA,United Technologies,134.211,5.269 ,66.501
148,China,China Baowu Steel Group,103.676,2.168 ,66.310
149,China,Bank of Communications,1.388.230,11.131 ,65.645
150,China,Aviation Industry Corp. of China,138.083,695 ,65.534
151,USA,FedEx,52.330,4.572 ,65.450
152,Japan,Dai-ichi Life Holdings,505.478,2.030 ,64.795
153,USA,PepsiCo,77.648,12.515 ,64.661
154,USA,Archer Daniels Midland,40.833,1.810 ,64.341
155,USA,Prudential Financial,815.078,4.074 ,62.992
156,Japan,Mitsui,107.941,3.736 ,62.751
157,Malaysia,Petronas,154.071,11.868 ,62.231
158,Japan,Seven & I Holdings,52.069,1.838 ,61.487
159,India,Oil & Natural Gas,71.563,4.361 ,61.420
160,China,PowerChina,123.815,804 ,61.224
161,Japan,Toyota Tsusho,40.133,1.196 ,60.994
162,Switzerland,Roche Group,79.680,10.738 ,60.846
163,France,Auchan Holding,41.074,-1.351 ,60.749
164,USA,Albertsons Cos.,20.777,131 ,60.535
165,Japan,Mitsubishi UFJ Financial Group,2.811.411,7.871 ,60.405
166,Britain/Netherlands,Unilever,67.958,11.081 ,60.167
167,USA,Centene,30.901,900 ,60.116
168,China,Sinopharm,49.823,884 ,59.980
169,USA,Walt Disney,98.598,12.598 ,59.434
170,South Korea,POSCO,70.608,1.556 ,59.223
171,USA,Sysco,18.070,1.431 ,58.727
172,USA,HP,34.622,5.327 ,58.472
173,France,Société Générale,1.496.676,4.560 ,58.390
174,Indonesia,Pertamina,64.719,2.527 ,57.934
175,Spain,Telefónica,130.356,3.931 ,57.466
176,China,Country Garden Holdings,237.368,5.234 ,57.309
177,Japan,Tokyo Electric Power,115.274,2.096 ,57.167
178,USA,Humana,25.413,1.683 ,56.912
179,Canada,Brookfield Asset Management,256.281,3.584 ,56.771
180,China,Hengli Group,22.400,583 ,56.199
181,China,Alibaba Group Holding,143.608,13.094 ,56.147
182,Germany,RWE,91.563,465 ,56.017
183,USA,Facebook,97.334,22.112 ,55.838
184,South Korea,LG Electronics,39.732,1.127 ,55.757
185,Japan,Nippon Steel Corporation,72.735,2.265 ,55.720
186,France,Christian Dior,88.321,3.038 ,55.263
187,China,China Merchants Bank,982.526,12.179 ,55.064
188,China,Guangzhou Automobile Industry Group,42.550,886 ,55.037
189,USA,Caterpillar,78.509,6.147 ,54.722
190,Brazil,Itaú Unibanco Holding,400.691,6.815 ,54.663
191,Belgium,Anheuser-Busch InBev,232.103,4.368 ,54.619
192,South Korea,Korea Electric Power,166.038,-1.195 ,54.568
193,USA,Energy Transfer,88.246,1.694 ,54.436
194,Australia,Wesfarmers,27.282,927 ,53.985
195,Mexico,América Móvil,72.580,2.733 ,53.978
196,USA,Lockheed Martin,44.876,5.046 ,53.762
197,USA,Pfizer,159.422,11.153 ,53.647
198,China,China Pacific Insurance (Group),194.585,2.724 ,53.572
199,Spain,Repsol,69.469,2.763 ,53.176
200,Switzerland,Novartis,145.563,12.611 ,53.166
201,China,Greenland Holding Group,150.975,1.720 ,52.721
202,China,China National Building Material Group,84.608,69 ,52.611
203,USA,Goldman Sachs Group,931.796,10.459 ,52.528
204,Germany,Continental,46.229,3.419 ,52.405
205,France,Vinci,86.133,3.520 ,52.345
206,France,Finatis,45.173,-209 ,52.272
207,Germany,Deutsche Bahn,66.896,623 ,52.004
208,Japan,Sumitomo Mitsui Financial Group,1.840.238,6.554 ,51.728
209,Canada,Alimentation Couche-Tard,23.141,1.674 ,51.394
210,China,Shandong Energy Group,43.757,573 ,51.246
211,China,Lenovo Group,29.989,596 ,51.038
212,China,Industrial Bank,977.563,9.165 ,50.991
213,China,HBIS Group,63.725,-78 ,50.921
214,Germany,ThyssenKrupp,39.334,10 ,50.856
215,China,Shanghai Pudong Development Bank,916.091,8.453 ,50.546
216,Britain,Vodafone Group,160.391,-9.281 ,50.532
217,USA,Morgan Stanley,853.531,8.748 ,50.193
218,Brazil,JBS,29.455,7 ,49.710
219,China,Zhejiang Geely Holding Group,48.565,1.969 ,49.665
220,Brazil,Banco Bradesco,336.888,4.538 ,49.612
221,Japan,MS&AD Insurance Group Holdings,209.023,1.738 ,49.610
222,France,Groupe BPCE,1.456.097,3.571 ,49.529
223,Japan,Tokio Marine Holdings,203.591,2.477 ,49.396
224,USA,Cisco Systems,108.784,110 ,49.330
225,France,Saint-Gobain,50.340,496 ,49.300
226,South Korea,Kia Motors,46.416,1.051 ,49.238
227,France,Orange,110.405,2.306 ,48.837
228,USA,Cigna,153.226,2.637 ,48.650
229,Japan,Denso,52.340,2.296 ,48.368
230,Japan,Sumitomo,71.533,2.891 ,48.156
231,China,China Minsheng Banking,873.155,7.608 ,47.981
232,Australia,Woolworths Group,17.402,1.336 ,47.842
233,Spain,Banco Bilbao Vizcaya Argentaria,773.456,6.283 ,47.608
234,USA,American International Group,491.984,-6 ,47.389
235,India,State Bank of India,561.370,329 ,47.286
236,China,Tencent Holdings,105.382,11.901 ,47.273
237,Switzerland,Zurich Insurance Group,395.342,3.716 ,47.180
238,Germany,Deutsche Bank,1.540.921,315 ,46.970
239,Germany,Bayer,144.344,2.000 ,46.718
240,USA,HCA Healthcare,39.207,3.787 ,46.677
241,China,China Poly Group,158.364,1.496 ,46.207
242,China,China Shipbuilding Industry,73.373,930 ,46.114
243,China,China Merchants Group,203.621,4.469 ,45.926
244,Japan,KDDI,66.237,5.571 ,45.821
245,Australia,BHP Group,111.993,3.705 ,45.809
246,USA,Bunge,19.425,267 ,45.743
247,France,CNP Assurances,474.944,1.613 ,45.461
248,China,Wuchan Zhongda Group,12.534,362 ,45.435
249,China,Sinomach,57.451,488 ,45.424
250,China,Aluminum Corp. of China,93.408,113 ,45.384
251,Saudi Arabia,SABIC,85.231,5.738 ,45.096
252,Sweden,Volvo,53.559,2.864 ,44.957
253,China,China Vanke,222.652,5.106 ,44.913
254,Russia,Sberbank,450.270,13.269 ,44.898
255,Canada,Royal Bank of Canada,1.016.476,9.636 ,44.609
256,USA,American Airlines Group,60.580,1.412 ,44.541
257,Singapore,Wilmar International,45.680,1.128 ,44.498
258,Taiwan,Pegatron,19.012,369 ,44.453
259,USA,Delta Air Lines,60.266,3.935 ,44.438
260,South Korea,Hanwha,151.966,426 ,44.303
261,China,China United Network Communications,78.909,617 ,43.974
262,China,Shaanxi Yanchang Petroleum (Group),53.958,307 ,43.858
263,USA,Charter Communications,146.130,1.230 ,43.634
264,India,Tata Motors,44.349,-4.122 ,43.599
265,Germany,ZF Friedrichshafen,30.898,1.065 ,43.582
266,Germany,Metro,17.702,409 ,43.467
267,USA,New York Life Insurance,311.449,880 ,43.425
268,Brazil,Banco do Brasil,360.361,3.783 ,43.333
269,USA,American Express,188.602,6.921 ,43.281
270,USA,Nationwide,214.142,513 ,43.270
271,Spain,ACS,39.200,1.080 ,43.263
272,China,Shandong Weiqiao Pioneering Group,35.359,853 ,43.008
273,Switzerland,UBS Group,958.489,4.516 ,42.960
274,India,Bharat Petroleum,19.768,1.116 ,42.936
275,USA,Best Buy,12.901,1.464 ,42.879
276,China,Xiamen C&D,36.868,631 ,42.726
277,USA,Liberty Mutual Insurance Group,125.989,2.160 ,42.685
278,China,China COSCO Shipping,117.702,1.555 ,42.608
279,China,Jardine Matheson,86.258,1.732 ,42.527
280,China,Shaanxi Coal & Chemical Industry,72.966,91 ,42.419
281,Germany,Talanx,186.171,830 ,42.391
282,China,China National Aviation Fuel Group,8.054,476 ,42.371
283,Germany,Lufthansa Group,43.678,2.553 ,42.302
284,USA,Merck,82.637,6.220 ,42.294
285,China,China Huaneng Group,156.327,9 ,42.281
286,France,Bouygues,43.084,1.547 ,42.179
287,France,Sanofi,127.339,5.082 ,42.105
288,China,China Everbright Group,696.970,1.891 ,41.880
289,USA,Honeywell International,57.773,6.765 ,41.802
290,China,Xiamen ITG Holding Group,15.123,63 ,41.438
291,Spain,Iberdrola,129.202,3.557 ,41.395
292,USA,United Airlines Holdings,44.792,2.129 ,41.303
293,Denmark,Maersk Group,56.636,3.169 ,41.256
294,Canada,Toronto-Dominion Bank,1.016.604,8.752 ,41.199
295,Britain,GlaxoSmithKline,73.941,4.832 ,41.109
296,USA,TIAA,568.190,1.561 ,41.052
297,Ireland,Accenture,24.449,4.060 ,40.993
298,Canada,Magna International,25.945,2.296 ,40.827
299,Japan,Mitsubishi Electric,39.362,2.044 ,40.766
300,China,Cedar Holdings Group,20.933,845 ,40.641
301,Netherlands,Louis Dreyfus,18.440,355 ,40.571
302,Britain,Rio Tinto Group,90.949,13.638 ,40.522
303,Germany,Edeka Zentrale,8.323,380 ,40.454
304,Brazil,Caixa Econômica Federal,326.183,2.833 ,40.241
305,USA,Tyson Foods,29.109,3.024 ,40.052
306,USA,Oracle,137.264,3.825 ,39.831
307,USA,Allstate,112.249,2.252 ,39.815
308,USA,World Fuel Services,5.677,128 ,39.750
309,Netherlands,ING Group,1.011.101,5.619 ,39.598
310,Britain,Centrica,26.177,244 ,39.595
311,China,Midea Group,38.409,3.059 ,39.582
312,Germany,Fresenius,64.812,2.392 ,39.571
313,USA,Massachusetts Mutual Life Insurance,265.813,398 ,39.267
314,Italy,Intesa Sanpaolo,900.365,4.780 ,39.051
315,Netherlands,LyondellBasell Industries,28.278,4.688 ,39.004
316,USA,TJX,14.326,3.060 ,38.973
317,China,Yankuang Group,44.775,-258 ,38.887
318,USA,ConocoPhillips,69.980,6.257 ,38.727
319,Britain,Barclays,1.443.123,2.862 ,38.278
320,Britain,J. Sainsbury,30.669,287 ,38.064
321,China,China Aerospace Science & Industry,47.048,1.846 ,37.870
322,China,China Aerospace Science & Technology,63.497,2.464 ,37.728
323,Japan,Meiji Yasuda Life Insurance,380.597,2.071 ,37.723
324,Canada,George Weston,32.084,443 ,37.475
325,France,SNCF Mobilités,48.483,5.313 ,37.389
326,Japan,Daiwa House Industry,39.162,2.142 ,37.371
327,Switzerland,ABB,44.441,2.173 ,37.360
328,USA,Deere,70.108,2.368 ,37.358
329,USA,Tech Data,12.987,341 ,37.239
330,Canada,Power Corp. of Canada,331.212,1.033 ,37.112
331,Switzerland,Swiss Re,207.570,462 ,37.047
332,China,Suning.com Group,29.053,2.015 ,37.032
333,Japan,Mitsubishi Heavy Industries,46.469,914 ,36.784
334,South Korea,SK Hynix,57.057,14.125 ,36.763
335,Brazil,Vale,88.190,6.860 ,36.696
336,USA,Enterprise Products Partners,56.970,4.172 ,36.534
337,China,XMXYG,16.892,199 ,36.504
338,Japan,Aisin Seiki,33.902,993 ,36.466
339,China,Jiangsu Shagang Group,33.174,1.869 ,36.441
340,USA,Nike,22.536,1.933 ,36.397
341,USA,Publix Super Markets,18.983,2.381 ,36.396
342,USA,General Dynamics,45.408,3.345 ,36.193
343,USA,Exelon,119.666,2.010 ,35.985
344,Japan,Canon,44.662,2.290 ,35.797
345,Canada,Enbridge,122.221,2.224 ,35.785
346,China,Jizhong Energy Group,33.772,-153 ,35.721
347,Germany,E.ON,62.092,3.804 ,35.704
348,Japan,Fujitsu,28.055,943 ,35.648
349,Japan,Mizuho Financial Group,1.814.333,871 ,35.406
350,Japan,Mitsubishi Chemical Holdings,50.353,1.529 ,35.386
351,China,CK Hutchison Holdings,157.393,4.976 ,35.361
352,Britain,Lloyds Banking Group,1.015.661,5.738 ,35.252
353,Japan,Idemitsu Kosan,26.116,735 ,35.091
354,Italy,Poste Italiane,238.753,1.651 ,35.071
355,Japan,JFE Holdings,42.552,1.475 ,34.937
356,Japan,Suzuki Motor,30.740,1.612 ,34.918
357,China,Jiangxi Copper,18.618,131 ,34.870
358,China,CRRC Group,58.038,487 ,34.673
359,Switzerland,Credit Suisse Group,780.309,2.070 ,34.284
360,China,Tsingshan Holding Group,8.523,579 ,34.242
361,China,State Power Investment,157.348,171 ,34.229
362,Taiwan,Taiwan Semiconductor Manufacturing,68.000,12.044 ,34.218
363,China,China Energy Engineering Group,57.759,433 ,34.177
364,Taiwan,Quanta Computer,21.456,502 ,34.103
365,USA,Plains GP Holdings,26.830,334 ,34.055
366,China,China South Industries Group,48.455,268 ,33.896
367,China,Yango Longking Group,51.585,614 ,33.395
368,China,Jinchuan Group,16.925,234 ,33.392
369,China,China Electronics Technology Group,51.673,1.755 ,33.324
370,Japan,Toshiba,38.830,9.139 ,33.313
371,Britain,Prudential,647.709,4.015 ,33.253
372,Australia,Commonwealth Bank of Australia,720.354,7.228 ,33.186
373,Japan,Bridgestone,35.221,2.642 ,33.063
374,China,China Electronics,40.323,350 ,33.056
375,South Korea,GS Caltex,17.531,640 ,33.053
376,Japan,Sompo Holdings,108.595,1.323 ,32.857
377,Japan,Sumitomo Life Insurance,341.660,435 ,32.825
378,USA,Schlumberger,70.507,2.138 ,32.815
379,USA,3M,36.500,5.349 ,32.765
380,USA,AbbVie,59.352,5.687 ,32.753
381,Switzerland,Chubb,167.771,3.962 ,32.717
382,USA,CHS,16.381,776 ,32.683
383,Britain,British American Tobacco,186.352,8.045 ,32.667
384,China,Ansteel Group,49.470,-255 ,32.619
385,China,China Huadian,118.797,464 ,32.421
386,USA,Capital One Financial,372.538,6.015 ,32.377
387,China,AIA Group,229.806,2.597 ,32.369
388,Japan,Mazda Motor,25.942,573 ,32.151
389,Taiwan,Compal Electronics,13.007,296 ,32.103
390,USA,Progressive,46.575,2.615 ,31.979
391,Germany,DZ Bank,592.912,973 ,31.976
392,South Korea,Hyundai Mobis,38.605,1.717 ,31.949
393,Taiwan,CPC,25.036,1.138 ,31.929
394,USA,Coca-Cola,83.216,6.434 ,31.856
395,France,L'Oréal,43.957,4.597 ,31.791
396,Ireland,CRH,40.203,2.971 ,31.625
397,Canada,Bank of Nova Scotia,760.409,6.643 ,31.589
398,Ireland,Johnson Controls International,48.797,2.162 ,31.400
399,USA,USAA,158.507,2.292 ,31.368
400,France,Air France-KLM Group,33.212,483 ,31.292
401,China,Shougang Group,73.067,84 ,31.104
402,Britain,Compass Group,16.444,1.513 ,30.879
403,USA,Hewlett Packard Enterprise,55.493,1.908 ,30.852
404,Britain,BT Group,60.303,2.833 ,30.743
405,Spain,Inditex,24.878,4.042 ,30.687
406,France,Veolia Environnement,42.969,518 ,30.580
407,USA,Abbott Laboratories,67.173,2.368 ,30.578
408,USA,Micron Technology,43.376,14.135 ,30.391
409,Poland,PKN ORLEN Group,17.079,1.539 ,30.390
410,France,Schneider Electric,48.302,2.755 ,30.354
411,Germany,Phoenix Pharma,9.600,-175 ,30.296
412,USA,Travelers Cos.,104.233,2.523 ,30.282
413,China,Gree Electrical Appliances,36.593,3.961 ,30.239
414,Switzerland,Coop Group,20.666,484 ,30.235
415,USA,Northrop Grumman,37.653,3.229 ,30.095
416,Canada,Suncor Energy,65.597,2.541 ,30.081
417,Canada,Manulife Financial,549.408,3.704 ,30.071
418,Ireland,Medtronic,91.393,3.104 ,29.953
419,Japan,Kansai Electric Power,65.577,1.038 ,29.833
420,USA,Arrow Electronics,17.784,716 ,29.677
421,USA,Philip Morris International,39.801,7.911 ,29.625
422,Turkey,Koç Holding,23.571,1.144 ,29.592
423,Taiwan,Wistron,11.033,163 ,29.510
424,Italy,UniCredit Group,950.369,4.594 ,29.332
425,South Korea,Samsung Life Insurance,259.414,1.513 ,29.306
426,Germany,SAP,58.854,4.819 ,29.160
427,France,La Poste,298.905,942 ,29.149
428,USA,Northwestern Mutual,272.167,783 ,29.124
429,Spain,Naturgy Energy Group,46.441,-3.330 ,29.123
430,Switzerland,Migros Group,67.588,511 ,29.098
431,France,Danone,50.494,2.772 ,29.092
432,Australia,Westpac Banking,636.297,6.152 ,29.028
433,South Korea,KB Financial Group,429.854,2.783 ,29.001
434,Britain,International Airlines Group,32.043,3.405 ,28.803
435,Japan,Medipal Holdings,14.619,310 ,28.699
436,Japan,Sumitomo Electric Industries,27.589,1.065 ,28.663
437,China,China Datang,108.633,323 ,28.655
438,China,Xinjiang Guanghui Industry Investment,38.415,137 ,28.564
439,Japan,Subaru,26.952,1.333 ,28.505
440,China,Anhui Conch Group,27.968,1.629 ,28.499
441,China,Huaxia Life Insurance,74.402,399 ,28.493
442,Mexico,CFE,84.235,2.322 ,28.457
443,South Korea,Samsung C&T,38.009,1.557 ,28.319
444,Switzerland,Adecco Group,11.108,541 ,28.167
445,Netherlands,Randstad,11.359,831 ,28.102
446,Switzerland,LafargeHolcim,60.580,1.536 ,28.089
447,China,Haier Smart Home,24.280,1.125 ,27.714
448,USA,INTL FCStone,7.825,56 ,27.623
449,Britain,Anglo American,52.196,3.549 ,27.610
450,China,China Taiping Insurance Group,96.189,434 ,27.486
451,Spain,Mapfre Group,76.913,624 ,27.424
452,Japan,Chubu Electric Power,54.103,716 ,27.374
453,USA,PBF Energy,8.005,128 ,27.186
454,Taiwan,Cathay Life Insurance,207.945,1.002 ,27.183
455,France,Financière de l'Odet,61.195,144 ,27.173
456,Australia,Australia & New Zealand Banking Group,681.894,4.863 ,27.148
457,Japan,East Japan Railway,75.537,2.663 ,27.076
458,Australia,OMV Group,42.246,1.789 ,27.061
459,USA,Raytheon,31.864,2.909 ,27.058
460,China,TongLing Nonferrous Metals Group,12.669,-70 ,26.847
461,China,Shanxi LuAn Mining Group,35.084,1 ,26.841
462,South Korea,CJ Corp.,28.439,251 ,26.836
463,China,Datong Coal Mine Group,49.898,-182 ,26.698
464,China,Shanxi Coking Coal Group,49.288,142 ,26.693
465,Finland,Nokia,45.168,-401 ,26.628
466,Netherlands,Heineken Holding,47.956,1.134 ,26.608
467,China,Xiaomi,21.153,2.049 ,26.444
468,China,Yangquan Coal Industry Group,34.910,-131 ,26.290
469,Japan,NEC,26.662,363 ,26.277
470,Taiwan,Fubon Financial Holding,251.011,1.583 ,26.277
471,USA,Kraft Heinz,103.461,-10.192 ,26.268
472,China,Hailiang Group,8.036,238 ,26.251
473,Singapore,Flex,13.499,93 ,26.211
474,China,Xinxing Cathay International Group,20.671,104 ,26.208
475,U.A.E,Emirates Group,34.688,237 ,26.148
476,Germany,Ceconomy,9.843,-252 ,26.129
477,France,Michelin,33.659,1.979 ,25.997
478,Australia,National Australia Bank,583.429,4.221 ,25.943
479,USA,Mondelez International,62.729,3.381 ,25.938
480,Germany,Adidas,17.845,2.009 ,25.920
481,China,Shanxi Jincheng Anthracite Coal Mining Group,40.138,53 ,25.845
482,Netherlands,Rabobank Group,674.870,2.235 ,25.823
483,China,Henan Energy & Chemical,39.328,-133 ,25.782
484,China,China General Technology,25.231,443 ,25.779
485,USA,U.S. Bancorp,467.374,7.096 ,25.775
486,USA,Macy's,19.194,1.108 ,25.739
487,Mexico,Fomento Económico Mexicano,29.270,1.247 ,25.679
488,USA,Dollar General,13.204,1.590 ,25.625
489,South Korea,LG Chem,25.943,1.339 ,25.617
490,Canada,Onex,45.417,-663 ,25.606
491,Taiwan,Formosa Petrochemical,13.202,1.993 ,25.463
492,France,Safran,46.429,1.514 ,25.192
493,Netherlands,Achmea,93.516,371 ,25.180
494,India,Rajesh Exports,4.164,185 ,25.143
495,USA,Nucor,17.921,2.361 ,25.067
496,Canada,Bank of Montreal,589.481,4.235 ,25.003
497,China,Taikang Insurance Group,117.398,1.795 ,24.932
498,Brazil,Ultrapar Holdings,7.870,315 ,24.816
499,France,Air Liquide,47.984,2.494 ,24.797
